Date,Country,Region,Business Unit,Account,Scenario,Amount EUR
2025-01-01,France,Western Europe,Industrial Solutions,Other Operating Income,Budget,10397.49
2025-01-01,France,Western Europe,Industrial Solutions,Revenue,Forecast,2331895.58
2025-01-01,France,Western Europe,Industrial Solutions,Material Costs,Forecast,-860809.73
2025-01-01,France,Western Europe,Industrial Solutions,Production Costs,Forecast,-279181.53
2025-01-01,France,Western Europe,Industrial Solutions,Personnel Costs,Forecast,-337344.35
2025-01-01,France,Western Europe,Industrial Solutions,External Services,Forecast,-116325.64
2025-01-01,France,Western Europe,Industrial Solutions,Travel Expenses,Forecast,-28235.89
2025-01-01,France,Western Europe,Industrial Solutions,IT Expenses,Forecast,-23302.77
2025-01-01,France,Western Europe,Industrial Solutions,Other Operating Expenses,Forecast,-40747.76
2025-01-01,France,Western Europe,Industrial Solutions,Depreciation,Forecast,-81616.35
2025-01-01,France,Western Europe,Industrial Solutions,Other Operating Income,Forecast,9753.97
2025-01-01,France,Western Europe,Services,Revenue,Actual,1526113.89
2025-01-01,France,Western Europe,Services,Material Costs,Actual,-284334.21
2025-01-01,France,Western Europe,Services,Production Costs,Actual,-126370.76
2025-01-01,France,Western Europe,Services,Personnel Costs,Actual,-371214.1
2025-01-01,France,Western Europe,Services,External Services,Actual,-118472.59
2025-01-01,France,Western Europe,Services,Travel Expenses,Actual,-17543.19
2025-01-01,France,Western Europe,Services,IT Expenses,Actual,-15440.26
2025-01-01,France,Western Europe,Services,Other Operating Expenses,Actual,-28974.35
2025-01-01,France,Western Europe,Services,Depreciation,Actual,-30522.28
2025-01-01,France,Western Europe,Services,Other Operating Income,Actual,5862.59
2025-01-01,France,Western Europe,Services,Revenue,Budget,1498399.45
2025-01-01,France,Western Europe,Services,Material Costs,Budget,-269711.9
2025-01-01,France,Western Europe,Services,Production Costs,Budget,-119871.96
2025-01-01,France,Western Europe,Services,Personnel Costs,Budget,-352123.87
2025-01-01,France,Western Europe,Services,External Services,Budget,-112379.96
2025-01-01,France,Western Europe,Services,Travel Expenses,Budget,-17675.32
2025-01-01,France,Western Europe,Services,IT Expenses,Budget,-15013.86
2025-01-01,France,Western Europe,Services,Other Operating Expenses,Budget,-26631.71
2025-01-01,France,Western Europe,Services,Depreciation,Budget,-29967.99
2025-01-01,France,Western Europe,Services,Other Operating Income,Budget,5621.84
2025-01-01,France,Western Europe,Services,Revenue,Forecast,1502630.49
2025-01-01,France,Western Europe,Services,Material Costs,Forecast,-270696.02
2025-01-01,France,Western Europe,Services,Production Costs,Forecast,-120309.34
2025-01-01,France,Western Europe,Services,Personnel Costs,Forecast,-353408.69
2025-01-01,France,Western Europe,Services,External Services,Forecast,-112790.01
2025-01-01,France,Western Europe,Services,Travel Expenses,Forecast,-17456.92
2025-01-01,France,Western Europe,Services,IT Expenses,Forecast,-15168.63
2025-01-01,France,Western Europe,Services,Other Operating Expenses,Forecast,-26425.65
2025-01-01,France,Western Europe,Services,Depreciation,Forecast,-30052.61
2025-01-01,France,Western Europe,Services,Other Operating Income,Forecast,6383.16
2025-01-01,France,Western Europe,Equipment,Revenue,Actual,1738910.27
2025-01-01,France,Western Europe,Equipment,Material Costs,Actual,-724722.52
2025-01-01,France,Western Europe,Equipment,Production Costs,Actual,-252810.18
2025-01-01,France,Western Europe,Equipment,Personnel Costs,Actual,-202248.14
2025-01-01,France,Western Europe,Equipment,External Services,Actual,-67416.05
2025-01-01,France,Western Europe,Equipment,Travel Expenses,Actual,-21009.31
2025-01-01,France,Western Europe,Equipment,IT Expenses,Actual,-17843.7
2025-01-01,France,Western Europe,Equipment,Other Operating Expenses,Actual,-30042.51
2025-01-01,France,Western Europe,Equipment,Depreciation,Actual,-78250.96
2025-01-01,France,Western Europe,Equipment,Other Operating Income,Actual,7007.01
2025-01-01,France,Western Europe,Equipment,Revenue,Budget,1863320.41
2025-01-01,France,Western Europe,Equipment,Material Costs,Budget,-801227.77
2025-01-01,France,Western Europe,Equipment,Production Costs,Budget,-279498.06
2025-01-01,France,Western Europe,Equipment,Personnel Costs,Budget,-223598.45
2025-01-01,France,Western Europe,Equipment,External Services,Budget,-74532.82
2025-01-01,France,Western Europe,Equipment,Travel Expenses,Budget,-22534.17
2025-01-01,France,Western Europe,Equipment,IT Expenses,Budget,-18924.56
2025-01-01,France,Western Europe,Equipment,Other Operating Expenses,Budget,-32502.59
2025-01-01,France,Western Europe,Equipment,Depreciation,Budget,-83849.42
2025-01-01,France,Western Europe,Equipment,Other Operating Income,Budget,7059.61
2025-01-01,France,Western Europe,Equipment,Revenue,Forecast,1806576.25
2025-01-01,France,Western Europe,Equipment,Material Costs,Forecast,-781693.29
2025-01-01,France,Western Europe,Equipment,Production Costs,Forecast,-272683.71
2025-01-01,France,Western Europe,Equipment,Personnel Costs,Forecast,-218146.97
2025-01-01,France,Western Europe,Equipment,External Services,Forecast,-72715.66
2025-01-01,France,Western Europe,Equipment,Travel Expenses,Forecast,-21872.06
2025-01-01,France,Western Europe,Equipment,IT Expenses,Forecast,-18156.27
2025-01-01,France,Western Europe,Equipment,Other Operating Expenses,Forecast,-32800.02
2025-01-01,France,Western Europe,Equipment,Depreciation,Forecast,-81295.93
2025-01-01,France,Western Europe,Equipment,Other Operating Income,Forecast,7029.74
2025-01-01,Italy,Southern Europe,Industrial Solutions,Revenue,Actual,1745725.02
2025-01-01,Italy,Southern Europe,Industrial Solutions,Material Costs,Actual,-676046.7
2025-01-01,Italy,Southern Europe,Industrial Solutions,Production Costs,Actual,-219258.39
2025-01-01,Italy,Southern Europe,Industrial Solutions,Personnel Costs,Actual,-264937.22
2025-01-01,Italy,Southern Europe,Industrial Solutions,External Services,Actual,-91357.66
2025-01-01,Italy,Southern Europe,Industrial Solutions,Travel Expenses,Actual,-21246.49
2025-01-01,Italy,Southern Europe,Industrial Solutions,IT Expenses,Actual,-17041.31
2025-01-01,Italy,Southern Europe,Industrial Solutions,Other Operating Expenses,Actual,-31938.82
2025-01-01,Italy,Southern Europe,Industrial Solutions,Depreciation,Actual,-61100.38
2025-01-01,Italy,Southern Europe,Industrial Solutions,Other Operating Income,Actual,6710.66
2025-01-01,Italy,Southern Europe,Industrial Solutions,Revenue,Budget,1732816.01
2025-01-01,Italy,Southern Europe,Industrial Solutions,Material Costs,Budget,-641141.92
2025-01-01,Italy,Southern Europe,Industrial Solutions,Production Costs,Budget,-207937.92
2025-01-01,Italy,Southern Europe,Industrial Solutions,Personnel Costs,Budget,-251258.32
2025-01-01,Italy,Southern Europe,Industrial Solutions,External Services,Budget,-86640.8
2025-01-01,Italy,Southern Europe,Industrial Solutions,Travel Expenses,Budget,-21284.79
2025-01-01,Italy,Southern Europe,Industrial Solutions,IT Expenses,Budget,-17729.69
2025-01-01,Italy,Southern Europe,Industrial Solutions,Other Operating Expenses,Budget,-30550.75
2025-01-01,Italy,Southern Europe,Industrial Solutions,Depreciation,Budget,-60648.56
2025-01-01,Italy,Southern Europe,Industrial Solutions,Other Operating Income,Budget,7198.36
2025-01-01,Italy,Southern Europe,Industrial Solutions,Revenue,Forecast,1729972.68
2025-01-01,Italy,Southern Europe,Industrial Solutions,Material Costs,Forecast,-643260.49
2025-01-01,Italy,Southern Europe,Industrial Solutions,Production Costs,Forecast,-208625.02
2025-01-01,Italy,Southern Europe,Industrial Solutions,Personnel Costs,Forecast,-252088.57
2025-01-01,Italy,Southern Europe,Industrial Solutions,External Services,Forecast,-86927.09
2025-01-01,Italy,Southern Europe,Industrial Solutions,Travel Expenses,Forecast,-21271.64
2025-01-01,Italy,Southern Europe,Industrial Solutions,IT Expenses,Forecast,-17956.01
2025-01-01,Italy,Southern Europe,Industrial Solutions,Other Operating Expenses,Forecast,-30948.48
2025-01-01,Italy,Southern Europe,Industrial Solutions,Depreciation,Forecast,-60549.04
2025-01-01,Italy,Southern Europe,Industrial Solutions,Other Operating Income,Forecast,6711.26
2025-01-01,Italy,Southern Europe,Services,Revenue,Actual,1049162.37
2025-01-01,Italy,Southern Europe,Services,Material Costs,Actual,-190459.88
2025-01-01,Italy,Southern Europe,Services,Production Costs,Actual,-84648.84
2025-01-01,Italy,Southern Europe,Services,Personnel Costs,Actual,-248655.96
2025-01-01,Italy,Southern Europe,Services,External Services,Actual,-79358.28
2025-01-01,Italy,Southern Europe,Services,Travel Expenses,Actual,-12694.45
2025-01-01,Italy,Southern Europe,Services,IT Expenses,Actual,-10665.19
2025-01-01,Italy,Southern Europe,Services,Other Operating Expenses,Actual,-18891.06
2025-01-01,Italy,Southern Europe,Services,Depreciation,Actual,-20983.25
2025-01-01,Italy,Southern Europe,Services,Other Operating Income,Actual,4440.65
2025-01-01,Italy,Southern Europe,Services,Revenue,Budget,1068471.89
2025-01-01,Italy,Southern Europe,Services,Material Costs,Budget,-192324.94
2025-01-01,Italy,Southern Europe,Services,Production Costs,Budget,-85477.75
2025-01-01,Italy,Southern Europe,Services,Personnel Costs,Budget,-251090.89
2025-01-01,Italy,Southern Europe,Services,External Services,Budget,-80135.39
2025-01-01,Italy,Southern Europe,Services,Travel Expenses,Budget,-12719.86
2025-01-01,Italy,Southern Europe,Services,IT Expenses,Budget,-11266.0
2025-01-01,Italy,Southern Europe,Services,Other Operating Expenses,Budget,-19533.32
2025-01-01,Italy,Southern Europe,Services,Depreciation,Budget,-21369.44
2025-01-01,Italy,Southern Europe,Services,Other Operating Income,Budget,4127.35
2025-01-01,Italy,Southern Europe,Services,Revenue,Forecast,1057199.16
2025-01-01,Italy,Southern Europe,Services,Material Costs,Forecast,-187850.41
2025-01-01,Italy,Southern Europe,Services,Production Costs,Forecast,-83489.07
2025-01-01,Italy,Southern Europe,Services,Personnel Costs,Forecast,-245249.15
2025-01-01,Italy,Southern Europe,Services,External Services,Forecast,-78271.0
2025-01-01,Italy,Southern Europe,Services,Travel Expenses,Forecast,-12870.01
2025-01-01,Italy,Southern Europe,Services,IT Expenses,Forecast,-10524.74
2025-01-01,Italy,Southern Europe,Services,Other Operating Expenses,Forecast,-19369.26
2025-01-01,Italy,Southern Europe,Services,Depreciation,Forecast,-21143.98
2025-01-01,Italy,Southern Europe,Services,Other Operating Income,Forecast,4308.85
2025-01-01,Italy,Southern Europe,Equipment,Revenue,Actual,1327455.52
2025-01-01,Italy,Southern Europe,Equipment,Material Costs,Actual,-564434.04
2025-01-01,Italy,Southern Europe,Equipment,Production Costs,Actual,-196895.59
2025-01-01,Italy,Southern Europe,Equipment,Personnel Costs,Actual,-157516.48
2025-01-01,Italy,Southern Europe,Equipment,External Services,Actual,-52505.49
2025-01-01,Italy,Southern Europe,Equipment,Travel Expenses,Actual,-16338.73
2025-01-01,Italy,Southern Europe,Equipment,IT Expenses,Actual,-13331.4
2025-01-01,Italy,Southern Europe,Equipment,Other Operating Expenses,Actual,-23150.05
2025-01-01,Italy,Southern Europe,Equipment,Depreciation,Actual,-59735.5
2025-01-01,Italy,Southern Europe,Equipment,Other Operating Income,Actual,5346.6
2025-01-01,Italy,Southern Europe,Equipment,Revenue,Budget,1366804.44
2025-01-01,Italy,Southern Europe,Equipment,Material Costs,Budget,-587725.91
2025-01-01,Italy,Southern Europe,Equipment,Production Costs,Budget,-205020.67
2025-01-01,Italy,Southern Europe,Equipment,Personnel Costs,Budget,-164016.53
2025-01-01,Italy,Southern Europe,Equipment,External Services,Budget,-54672.18
2025-01-01,Italy,Southern Europe,Equipment,Travel Expenses,Budget,-16591.25
2025-01-01,Italy,Southern Europe,Equipment,IT Expenses,Budget,-13426.43
2025-01-01,Italy,Southern Europe,Equipment,Other Operating Expenses,Budget,-24697.03
2025-01-01,Italy,Southern Europe,Equipment,Depreciation,Budget,-61506.2
2025-01-01,Italy,Southern Europe,Equipment,Other Operating Income,Budget,5479.95
2025-01-01,Italy,Southern Europe,Equipment,Revenue,Forecast,1328860.81
2025-01-01,Italy,Southern Europe,Equipment,Material Costs,Forecast,-563572.89
2025-01-01,Italy,Southern Europe,Equipment,Production Costs,Forecast,-196595.19
2025-01-01,Italy,Southern Europe,Equipment,Personnel Costs,Forecast,-157276.16
2025-01-01,Italy,Southern Europe,Equipment,External Services,Forecast,-52425.39
2025-01-01,Italy,Southern Europe,Equipment,Travel Expenses,Forecast,-16117.49
2025-01-01,Italy,Southern Europe,Equipment,IT Expenses,Forecast,-13437.65
2025-01-01,Italy,Southern Europe,Equipment,Other Operating Expenses,Forecast,-24567.15
2025-01-01,Italy,Southern Europe,Equipment,Depreciation,Forecast,-59798.74
2025-01-01,Italy,Southern Europe,Equipment,Other Operating Income,Forecast,5539.5
2025-01-01,Switzerland,DACH,Industrial Solutions,Revenue,Actual,1566825.32
2025-01-01,Switzerland,DACH,Industrial Solutions,Material Costs,Actual,-587171.74
