Date,Country,Business Unit,Revenue,COGS,Accounts Receivable,Inventory,Accounts Payable,Operating Working Capital,DSO,DIO,DPO,CCC
2025-01-01,Switzerland,Equipment,6080357.26,4298718.45,6090282.46,7064650.38,5615576.43,7539356.41,31.05,50.95,40.5,41.5
2025-02-01,Austria,Industrial Solutions,10151510.9,7015382.61,16957826.53,19376892.56,11749188.13,24585530.96,46.77,77.34,46.89,77.22
2025-02-01,Austria,Services,7138035.29,3954962.92,12869507.46,10728889.66,6703044.77,16895352.36,50.48,75.96,47.46,78.98
2025-02-01,Austria,Equipment,7440567.19,5431011.27,12860532.9,16473094.99,9294783.77,20038844.12,48.4,84.93,47.92,85.4
2025-02-01,Germany,Industrial Solutions,10843339.58,7467812.17,14946223.01,13919784.48,11383836.13,17482171.35,38.59,52.19,42.68,48.1
2025-02-01,Germany,Services,7860143.54,4328975.5,11459457.92,7810601.61,6340694.69,12929364.84,40.82,50.52,41.01,50.33
2025-02-01,Germany,Equipment,8248562.93,5987573.51,11069786.99,12195257.02,9200990.35,14064053.66,37.58,57.03,43.03,51.58
2025-02-01,France,Industrial Solutions,10541036.95,7129363.13,24845468.59,14527660.5,9429986.76,29943142.33,66.0,57.06,37.04,86.02
2025-02-01,France,Services,7334170.79,3951800.12,18270772.71,8337205.72,5406085.23,21201893.2,69.75,59.07,38.3,90.52
2025-02-01,France,Equipment,8732649.26,6402067.9,19890986.23,14743933.33,8709030.27,25925889.3,63.78,64.48,38.09,90.17
2025-02-01,Italy,Industrial Solutions,9220050.94,6418635.51,17913048.04,14551780.82,16235635.9,16229192.96,54.4,63.48,70.82,47.05
2025-02-01,Italy,Services,6102153.07,3420223.15,12913756.05,7704921.55,8800530.8,11818146.8,59.26,63.08,72.05,50.29
2025-02-01,Italy,Equipment,6772210.95,4794691.88,12999151.46,11869941.92,12656851.24,12212242.15,53.75,69.32,73.91,49.15
2025-02-01,Switzerland,Industrial Solutions,7736311.52,5266622.93,8949198.39,8394959.32,7736721.19,9607436.52,32.39,44.63,41.13,35.89
2025-02-01,Switzerland,Services,5775661.39,3129304.26,7218384.86,4969153.15,4412723.26,7774814.75,34.99,44.46,39.48,39.97
2025-02-01,Switzerland,Equipment,5742112.72,4161499.6,6563469.39,7231264.9,5866042.64,7928691.65,32.01,48.65,39.47,41.19
2025-03-01,Austria,Industrial Solutions,10909515.83,7302547.61,16532244.12,18362524.26,11636650.44,23258117.93,46.98,77.95,49.4,75.53
2025-03-01,Austria,Services,6977135.75,3877058.1,11658693.92,9601614.88,6085388.25,15174920.55,51.8,76.77,48.66,79.92
2025-03-01,Austria,Equipment,7873071.81,5713611.12,12288230.94,15330569.3,8629402.26,18989397.98,48.38,83.18,46.82,84.74
2025-03-01,Germany,Industrial Solutions,12441226.14,8369061.37,14963689.64,13651617.89,11400564.94,17214742.6,37.29,50.57,42.23,45.62
2025-03-01,Germany,Services,8456427.95,4516133.35,11192423.08,7451134.44,6171927.81,12471629.71,41.03,51.15,42.37,49.81
2025-03-01,Germany,Equipment,8840500.54,6438081.35,10763097.4,12147956.83,8532857.07,14378197.16,37.74,58.49,41.09,55.15
2025-03-01,France,Industrial Solutions,11221815.89,7453863.62,24129186.57,14261679.47,9004292.96,29386573.08,66.66,59.31,37.45,88.52
2025-03-01,France,Services,8072048.84,4524127.75,17765074.27,8479555.72,5459808.32,20784821.66,68.23,58.1,37.41,88.92
2025-03-01,France,Equipment,8370316.52,6170260.19,17972319.84,12639703.06,7490494.43,23121528.47,66.56,63.5,37.63,92.43
2025-03-01,Italy,Industrial Solutions,9190632.19,6334358.25,16694476.19,13590189.3,14959110.59,15325554.9,56.31,66.51,73.21,49.61
2025-03-01,Italy,Services,6590443.81,3534300.92,12080170.38,7587843.25,8261117.56,11406896.07,56.82,66.55,72.46,50.92
2025-03-01,Italy,Equipment,6775946.25,4762023.7,12139775.65,10433633.66,10835092.56,11738316.76,55.54,67.92,70.53,52.93
2025-03-01,Switzerland,Industrial Solutions,8368655.82,5756206.87,8717376.52,8217547.4,7521919.64,9413004.28,32.29,44.26,40.51,36.04
2025-03-01,Switzerland,Services,5578386.57,3035971.01,6391325.2,4446621.11,3999464.44,6838481.87,35.52,45.4,40.84,40.08
2025-03-01,Switzerland,Equipment,6521046.7,4714396.79,6567294.71,7543513.51,5997394.89,8113413.34,31.22,49.6,39.44,41.39
2025-04-01,Austria,Industrial Solutions,10282109.06,7190266.84,16345853.13,19134445.2,11594947.43,23885350.9,47.69,79.83,48.38,79.15
2025-04-01,Austria,Services,7603811.31,4182757.93,12986125.01,10870288.34,6570039.11,17286374.24,51.24,77.96,47.12,82.08
2025-04-01,Austria,Equipment,8377825.11,5952690.77,13021941.2,16612859.08,9339787.44,20295012.85,46.63,83.72,47.07,83.28
2025-04-01,Germany,Industrial Solutions,12843989.08,8971786.93,16674019.88,15429946.86,12195335.22,19908631.52,38.95,51.59,40.78,49.76
2025-04-01,Germany,Services,8879688.87,4862784.7,12475362.26,8663293.16,6952093.73,14186561.69,42.15,53.45,42.89,52.7
2025-04-01,Germany,Equipment,9152533.01,6544392.62,11837456.52,12297758.68,8980460.26,15154754.93,38.8,56.37,41.17,54.01
2025-04-01,France,Industrial Solutions,11748336.31,8197931.68,25754121.79,15915959.96,10133070.51,31537011.24,65.76,58.24,37.08,86.93
2025-04-01,France,Services,8189888.93,4636883.97,18162864.85,8974501.46,6006373.83,21130992.48,66.53,58.06,38.86,85.73
2025-04-01,France,Equipment,9235336.69,6728045.11,20252997.3,14009780.64,8416647.49,25846130.45,65.79,62.47,37.53,90.73
2025-04-01,Italy,Industrial Solutions,9901623.94,6858385.83,18552784.55,15228277.17,16471327.83,17309733.89,56.21,66.61,72.05,50.77
2025-04-01,Italy,Services,6610802.65,3701016.49,12895885.43,8116041.81,9040081.2,11971846.05,58.52,65.79,73.28,51.03
2025-04-01,Italy,Equipment,7687703.91,5481343.58,13988910.87,12478228.25,13217012.16,13250126.97,54.59,68.29,72.34,50.55
2025-04-01,Switzerland,Industrial Solutions,8013818.46,5438148.35,8569944.79,8052748.7,7290381.65,9332311.84,32.08,44.42,40.22,36.29
2025-04-01,Switzerland,Services,5544191.41,2964659.28,6593422.46,4409685.08,3864427.96,7138679.58,35.68,44.62,39.1,41.2
2025-04-01,Switzerland,Equipment,6545424.48,4789049.63,6862741.5,8040602.25,6226536.19,8676807.57,31.45,50.37,39.0,42.82
2025-05-01,Austria,Industrial Solutions,10332523.73,7039334.21,16037753.08,17857921.64,11047472.76,22848201.95,48.12,78.64,48.65,78.11
2025-05-01,Austria,Services,7991693.01,4399729.98,13007961.88,11266356.11,6718813.01,17555504.97,50.46,79.38,47.34,82.5
2025-05-01,Austria,Equipment,8338483.19,5851858.41,12543502.3,16102802.14,9243599.84,19402704.59,46.63,85.3,48.97,82.97
2025-05-01,Germany,Industrial Solutions,12853325.29,8692514.69,15446840.68,14280423.06,11600472.7,18126791.04,37.26,50.93,41.37,46.81
2025-05-01,Germany,Services,8745357.19,4871878.15,11677614.96,8064277.48,6780752.38,12961140.06,41.39,51.31,43.15,49.56
2025-05-01,Germany,Equipment,9935770.11,7177084.61,12260972.14,13132914.7,9576611.37,15817275.47,38.25,56.73,41.36,53.62
2025-05-01,France,Industrial Solutions,11804393.26,8151171.06,24029988.06,14899271.27,9719584.17,29209675.16,63.11,56.66,36.96,82.81
2025-05-01,France,Services,7857684.09,4413898.45,17446827.64,8245464.86,5280028.04,20412264.45,68.83,57.91,37.08,89.66
2025-05-01,France,Equipment,9230703.68,6635528.08,18975196.46,13431584.41,8084340.16,24322440.71,63.73,62.75,37.77,88.71
2025-05-01,Italy,Industrial Solutions,9964628.97,6830870.95,17196861.29,14215040.07,15985056.59,15426844.76,53.5,64.51,72.54,45.47
2025-05-01,Italy,Services,6806560.69,3823681.88,12856111.92,7855254.17,8651987.7,12059378.39,58.55,63.69,70.14,52.09
2025-05-01,Italy,Equipment,7689202.77,5378945.57,13712343.66,12466828.48,12549608.97,13629563.18,55.28,71.85,72.33,54.81
2025-05-01,Switzerland,Industrial Solutions,8618766.3,5911147.76,8874506.1,8604183.8,7829318.18,9649371.72,31.92,45.12,41.06,35.98
2025-05-01,Switzerland,Services,5965337.85,3371724.02,6898862.49,4805102.2,4238199.13,7465765.56,35.85,44.18,38.97,41.06
2025-05-01,Switzerland,Equipment,6398067.38,4473446.71,6443747.62,7294462.86,5623678.48,8114531.99,31.22,50.55,38.97,42.8
2025-06-01,Austria,Industrial Solutions,10988008.11,7626456.82,17077936.97,20202919.46,12042618.1,25238238.33,46.63,79.47,47.37,78.73
2025-06-01,Austria,Services,7419701.96,4129007.21,12711078.52,10978557.95,6699590.1,16990046.37,51.39,79.77,48.68,82.48
2025-06-01,Austria,Equipment,8954649.03,6363029.37,14050150.54,17869096.32,10368277.25,21550969.61,47.07,84.25,48.88,82.44
2025-06-01,Germany,Industrial Solutions,13677090.82,9251660.21,17191283.1,16302168.02,12828606.44,20664844.68,37.71,52.86,41.6,48.97
2025-06-01,Germany,Services,9404640.52,5283786.81,12798250.28,9296420.92,7510277.35,14584393.85,40.83,52.78,42.64,50.97
2025-06-01,Germany,Equipment,9462796.65,6977774.32,11989986.45,13517457.12,9663409.18,15844034.4,38.01,58.12,41.55,54.58
2025-06-01,France,Industrial Solutions,12941612.23,8741792.83,27217188.41,17311876.25,10801398.16,33727666.49,63.09,59.41,37.07,85.43
2025-06-01,France,Services,8368137.74,4726759.71,19480599.87,9178668.41,6034589.34,22624678.93,69.84,58.26,38.3,89.79
2025-06-01,France,Equipment,9445203.15,6716169.48,20254228.06,14249947.48,8635967.26,25868208.28,64.33,63.65,38.58,89.41
2025-06-01,Italy,Industrial Solutions,10462501.71,7238130.48,18710782.38,15677365.78,16910360.72,17477787.44,53.65,64.98,70.09,48.54
2025-06-01,Italy,Services,7039994.75,3858413.49,13927271.03,8285115.8,9047430.39,13164956.43,59.35,64.42,70.35,53.42
2025-06-01,Italy,Equipment,7442868.4,5442949.26,13742045.69,12396265.28,12737107.51,13401203.46,55.39,68.32,70.2,53.51
2025-06-01,Switzerland,Industrial Solutions,9202299.39,6097155.82,10005344.58,9258907.93,7925334.56,11338917.95,32.62,45.56,39.0,39.18
2025-06-01,Switzerland,Services,5910883.01,3345909.16,6844008.24,4979909.97,4544940.12,7278978.08,34.74,44.65,40.75,38.64
2025-06-01,Switzerland,Equipment,7282965.86,5396643.08,7886598.98,8927626.85,7015708.27,9798517.56,32.49,49.63,39.0,43.11
2025-07-01,Austria,Industrial Solutions,10208585.38,6966164.03,15734973.24,17955116.68,10534693.63,23155396.28,47.78,79.9,46.88,80.8
2025-07-01,Austria,Services,6833946.69,3648471.03,11221803.75,8935635.1,5520042.0,14637396.84,50.9,75.92,46.9,79.93
2025-07-01,Austria,Equipment,7251183.94,5267592.73,11393389.84,14174102.49,8382448.94,17185043.4,48.71,83.42,49.33,82.79
2025-07-01,Germany,Industrial Solutions,11191393.54,7512301.85,14021879.65,12392297.74,10460836.9,15953340.49,38.84,51.14,43.17,46.81
2025-07-01,Germany,Services,7405512.85,4187861.96,9525919.82,7189662.85,5683307.86,11032274.82,39.88,53.22,42.07,51.03
2025-07-01,Germany,Equipment,9257021.48,6494615.29,11383982.75,12277968.53,8811350.69,14850600.58,38.12,58.61,42.06,54.67
2025-07-01,France,Industrial Solutions,11036756.53,7593140.01,23078466.76,14315249.4,9354806.45,28038909.71,64.82,58.44,38.19,85.07
2025-07-01,France,Services,7886197.54,4219113.56,17071412.05,8107153.55,5292918.99,19885646.61,67.11,59.57,38.89,87.78
2025-07-01,France,Equipment,8315514.85,6030325.96,17202865.3,12025850.71,7375911.95,21852804.05,64.13,61.82,37.92,88.04
2025-07-01,Italy,Industrial Solutions,8735520.96,5969970.07,15105836.02,12873978.49,14270237.14,13709577.37,53.61,66.85,74.1,46.36
2025-07-01,Italy,Services,6302386.02,3473819.59,11656802.94,7420952.76,8157653.31,10920102.39,57.34,66.22,72.8,50.76
2025-07-01,Italy,Equipment,6563075.98,4841922.79,11869507.72,11228443.88,11398059.35,11699892.25,56.06,71.89,72.98,54.98
2025-07-01,Switzerland,Industrial Solutions,8011572.05,5421144.92,8484729.98,8042246.19,6804153.27,9722822.9,32.83,45.99,38.91,39.91
2025-07-01,Switzerland,Services,5160993.61,2817506.62,5935502.59,4209504.45,3559238.0,6585769.03,35.65,46.32,39.16,42.81
2025-07-01,Switzerland,Equipment,6148677.77,4395409.88,6525975.64,7234895.25,5786626.43,7974244.46,32.9,51.03,40.81,43.12
2025-08-01,Austria,Industrial Solutions,8495961.83,5747727.48,12976187.37,14077081.5,9094462.41,17958806.45,47.35,75.92,49.05,74.22
2025-08-01,Austria,Services,6125684.11,3470142.97,10378036.94,8760367.03,5459842.78,13678561.18,52.52,78.26,48.77,82.0
2025-08-01,Austria,Equipment,6910119.58,5079661.85,10537344.45,13560027.82,7690276.9,16407095.38,47.27,82.75,46.93,83.09
2025-08-01,Germany,Industrial Solutions,10341556.31,7077057.14,12470350.86,11993490.13,9656229.69,14807611.3,37.38,52.54,42.3,47.62
2025-08-01,Germany,Services,6674037.79,3585609.45,8917821.32,6021899.22,4937296.58,10002423.96,41.42,52.06,42.69,50.8
2025-08-01,Germany,Equipment,7562253.61,5559876.55,9298729.41,10260376.95,7702969.9,11856136.46,38.12,57.21,42.95,52.38
2025-08-01,France,Industrial Solutions,9272151.05,6166609.3,18891933.72,11714146.25,7613635.16,22992444.81,63.16,58.89,38.27,83.78
2025-08-01,France,Services,6653445.08,3596372.15,14276231.77,6532707.38,4368935.49,16440003.67,66.52,56.31,37.66,85.17
2025-08-01,France,Equipment,7293861.52,5217626.95,15236206.67,10860695.82,6337569.11,19759333.38,64.76,64.53,37.65,91.63
2025-08-01,Italy,Industrial Solutions,7688084.66,5316872.1,13555479.88,11229943.61,12617351.05,12168072.44,54.66,65.48,73.57,46.57
2025-08-01,Italy,Services,5600228.73,3014902.32,10746030.51,6318579.13,6900782.27,10163827.37,59.48,64.97,70.96,53.5
2025-08-01,Italy,Equipment,5875048.5,4351868.19,10418856.44,9725829.74,10188466.3,9956219.87,54.98,69.28,72.58,51.68
2025-08-01,Switzerland,Industrial Solutions,6609660.34,4380190.34,6670948.75,6216440.13,5533814.69,7353574.18,31.29,44.0,39.16,36.12
2025-08-01,Switzerland,Services,4518493.02,2506177.03,5004150.59,3604311.18,3310764.33,5297697.44,34.33,44.58,40.95,37.96
2025-08-01,Switzerland,Equipment,5231602.08,3804622.42,5294187.93,6023191.9,4773952.42,6543427.41,31.37,49.08,38.9,41.55
2025-09-01,Austria,Industrial Solutions,10785777.44,7236895.18,16922809.37,18351590.88,11315472.12,23958928.12,47.07,76.08,46.91,76.24
2025-09-01,Austria,Services,7739401.88,4181668.59,13049835.25,10874567.56,6767101.88,17157300.93,50.58,78.02,48.55,80.05
2025-09-01,Austria,Equipment,8162358.83,5982474.62,13159995.13,16136161.87,9786512.16,19509644.84,48.37,80.92,49.08,80.21
2025-09-01,Germany,Industrial Solutions,13569158.95,8984031.33,16957505.06,15858416.85,12764995.18,20050926.73,37.49,52.96,42.63,47.82
2025-09-01,Germany,Services,8603863.29,4649601.09,11667229.06,8051824.52,6555627.88,13163425.7,40.68,51.95,42.3,50.34
2025-09-01,Germany,Equipment,9779703.11,7025557.79,12571558.56,12977483.08,9689682.34,15859359.29,38.56,55.42,41.38,52.6
2025-09-01,France,Industrial Solutions,12671517.22,8820952.81,27474190.19,17086701.6,10909857.99,33651033.8,65.05,58.11,37.1,86.05
2025-09-01,France,Services,8499622.37,4683941.04,18968119.83,8930240.62,5889307.66,22009052.79,66.95,57.2,37.72,86.43
2025-09-01,France,Equipment,8956650.8,6379946.15,19070097.01,13259216.65,7896896.94,24432416.72,63.87,62.35,37.13,89.09
2025-09-01,Italy,Industrial Solutions,10582531.46,7236531.55,19609796.83,15951189.28,17366052.4,18194933.71,55.59,66.13,71.99,49.73
2025-09-01,Italy,Services,6651492.35,3666465.65,12926556.15,8060995.32,8763435.78,12224115.69,58.3,65.96,71.7,52.55
2025-09-01,Italy,Equipment,7428487.73,5279122.55,13507014.11,12425796.71,12723699.33,13209111.49,54.55,70.61,72.31,52.86
2025-09-01,Switzerland,Industrial Solutions,8830433.13,6179977.05,9478907.07,9123811.67,8043091.39,10559627.34,32.2,44.29,39.04,37.45
2025-09-01,Switzerland,Services,5961660.74,3228934.45,6813667.68,4752316.76,4249732.84,7316251.6,34.29,44.15,39.48,38.96
2025-09-01,Switzerland,Equipment,6641082.99,4895409.69,6905408.9,8171015.48,6492121.38,8584303.0,31.19,50.07,39.78,41.48
2025-10-01,Austria,Industrial Solutions,12102209.37,8037938.76,18624060.37,20794179.11,12718783.27,26699456.21,47.71,80.2,49.05,78.85
2025-10-01,Austria,Services,8221345.3,4456057.89,13258355.64,11325466.45,7077456.53,17506365.57,49.99,78.79,49.24,79.55
2025-10-01,Austria,Equipment,8859941.62,6406567.68,13537516.29,17430426.15,9733578.05,21234364.39,47.37,84.34,47.1,84.61
2025-10-01,Germany,Industrial Solutions,12877638.88,8717618.17,15792700.84,14397095.34,11538017.6,18651778.58,38.02,51.2,41.03,48.18
2025-10-01,Germany,Services,9228903.28,5011523.43,12265464.33,8232091.94,6782122.64,13715433.63,41.2,50.92,41.95,50.17
2025-10-01,Germany,Equipment,10159576.61,7118193.33,12331581.92,12801197.73,9391355.05,15741424.6,37.63,55.75,40.9,52.48
2025-10-01,France,Industrial Solutions,13323879.15,8963666.84,28456586.78,16523840.16,11107378.71,33873048.23,66.21,57.15,38.41,84.94
2025-10-01,France,Services,8984052.61,4969583.31,19673345.32,9248748.25,6036507.91,22885585.66,67.88,57.69,37.66,87.92
2025-10-01,France,Equipment,10178941.05,7474220.91,21938443.43,14847140.46,9288859.97,27496723.92,66.81,61.58,38.53,89.87
2025-10-01,Italy,Industrial Solutions,10837578.4,7228603.12,18727838.09,15376024.78,16864033.5,17239829.36,53.57,65.94,72.32,47.19
2025-10-01,Italy,Services,7420386.66,3993002.73,14129261.23,8222538.91,9086914.14,13264886.0,59.03,63.84,70.55,52.32
2025-10-01,Italy,Equipment,7600918.21,5575954.76,13619166.09,12608290.42,12840910.78,13386545.72,55.55,70.1,71.39,54.25
2025-10-01,Switzerland,Industrial Solutions,9566256.72,6463075.54,10062427.88,9347622.1,8277879.35,11132170.63,32.61,44.84,39.7,37.74
2025-10-01,Switzerland,Services,6307624.69,3427850.07,7227312.94,4976723.57,4351966.43,7852070.08,35.52,45.01,39.36,41.17
2025-10-01,Switzerland,Equipment,7377560.6,5274838.53,7635447.16,8715295.19,6856978.91,9493763.44,32.08,51.22,40.3,43.0
2025-11-01,Austria,Industrial Solutions,10417983.19,7271180.85,16796497.3,18717802.95,11382089.23,24132211.02,48.37,77.23,46.96,78.63
2025-11-01,Austria,Services,7826739.65,4335719.49,13332170.32,11539288.68,7057273.73,17814185.26,51.1,79.84,48.83,82.11
2025-11-01,Austria,Equipment,8048888.28,5729733.07,12683880.5,16084287.52,8910990.39,19857177.63,47.28,84.21,46.66,84.83
2025-11-01,Germany,Industrial Solutions,12663320.96,8746661.07,16402810.47,15017228.42,12481359.52,18938679.37,38.86,51.51,42.81,47.56
2025-11-01,Germany,Services,8287779.88,4653032.5,11073474.56,8015552.08,6630444.81,12458581.83,40.08,51.68,42.75,49.01
2025-11-01,Germany,Equipment,9254184.28,6554772.6,11878280.99,12618488.94,9254397.65,15242372.27,38.51,57.75,42.36,53.9
2025-11-01,France,Industrial Solutions,12291565.05,8379690.36,26235123.12,16050744.4,10411497.91,31874369.62,64.03,57.46,37.27,84.22
2025-11-01,France,Services,8723600.98,4821987.27,19655864.72,9301256.66,6271766.93,22685354.44,67.6,57.87,39.02,86.44
2025-11-01,France,Equipment,8855636.04,6409046.33,19193990.65,13549001.03,7883402.84,24859588.84,65.02,63.42,36.9,91.54
2025-11-01,Italy,Industrial Solutions,10266868.05,7162479.53,18896149.95,15701811.63,17625715.5,16972246.08,55.21,65.77,73.83,47.16
2025-11-01,Italy,Services,6973206.2,3755307.15,13543241.03,8188596.04,8971709.75,12760127.32,58.27,65.42,71.67,52.01
2025-11-01,Italy,Equipment,7774502.21,5743527.44,14617198.22,13362034.28,13464587.45,14514645.05,56.4,69.79,70.33,55.87
2025-11-01,Switzerland,Industrial Solutions,9244268.73,6413923.62,9638491.29,9863817.73,8741697.13,10760611.89,31.28,46.14,40.89,36.53
2025-11-01,Switzerland,Services,6061671.91,3352177.85,7029095.69,4893940.14,4425374.61,7497661.21,34.79,43.8,39.6,38.98
2025-11-01,Switzerland,Equipment,6964221.02,4865205.53,7354291.31,8059132.85,6501495.68,8911928.48,31.68,49.69,40.09,41.29
2025-12-01,Austria,Industrial Solutions,12562576.78,8463796.37,19273110.27,21599473.42,13067661.39,27804922.3,47.56,79.11,47.86,78.81
2025-12-01,Austria,Services,8006367.35,4390936.08,12887932.81,10833642.02,6798202.93,16923371.9,49.9,76.49,48.0,78.39
2025-12-01,Austria,Equipment,9110493.7,6722827.74,13990101.87,18086863.71,10492148.35,21584817.23,47.6,83.4,48.38,82.62
2025-12-01,Germany,Industrial Solutions,12950372.14,8892662.14,15567985.74,15329383.1,11794145.63,19103223.22,37.27,53.44,41.11,49.59
2025-12-01,Germany,Services,9424446.11,5054486.32,12836190.05,8479609.8,6887205.6,14428594.25,42.22,52.01,42.24,51.99
2025-12-01,Germany,Equipment,10030360.3,7330170.18,12081272.84,13799954.69,9755499.3,16125728.23,37.34,58.36,41.26,54.44
2025-12-01,France,Industrial Solutions,12667682.52,8374493.77,26516753.55,15729365.14,9998015.2,32248103.5,64.89,58.23,37.01,86.11
2025-12-01,France,Services,9409140.66,5160523.47,20669609.37,9620856.19,6288137.77,24002327.79,68.1,57.79,37.77,88.12
2025-12-01,France,Equipment,10192427.22,7186745.45,20963363.36,14922361.1,9045363.76,26840360.7,63.76,64.37,39.02,89.11
2025-12-01,Italy,Industrial Solutions,10600356.18,7109090.53,18969576.23,14824532.18,16041242.89,17752865.52,55.48,64.64,69.95,50.17
2025-12-01,Italy,Services,7144517.9,3980404.42,13494624.25,8109197.59,9090591.39,12513230.45,58.55,63.16,70.8,50.91
2025-12-01,Italy,Equipment,8012795.92,5828714.21,13806575.89,12848978.57,13781268.51,12874285.95,53.42,68.34,73.3,48.46
2025-12-01,Switzerland,Industrial Solutions,9198917.84,6312592.17,9346489.53,8943210.55,8019764.15,10269935.94,31.5,43.92,39.38,36.03
2025-12-01,Switzerland,Services,6800675.54,3820197.76,7830311.35,5511238.56,4978999.83,8362550.08,35.69,44.72,40.4,40.01
2025-12-01,Switzerland,Equipment,7099442.13,5048157.59,7502728.18,7904275.82,6351758.06,9055245.94,32.76,48.54,39.01,42.29
2026-01-01,Austria,Industrial Solutions,9971215.22,6587807.54,15144196.13,19861893.74,10152385.77,24853704.1,47.08,93.46,47.77,92.77
2026-01-01,Austria,Services,7491017.04,4198532.55,12206965.34,12413785.32,6454026.78,18166723.87,50.52,91.66,47.65,94.52
2026-01-01,Austria,Equipment,8034928.37,5704641.25,12533852.95,17936006.82,8860576.85,21609282.92,48.36,97.47,48.15,97.67
2026-01-01,Germany,Industrial Solutions,11792371.49,7919924.18,14844113.05,13495154.83,10498519.97,17840747.9,39.02,52.82,41.09,50.75
2026-01-01,Germany,Services,8590774.68,4721362.87,11630966.28,8062191.38,6367982.04,13325175.62,41.97,52.94,41.81,53.09
2026-01-01,Germany,Equipment,8617300.16,6118342.24,10589529.42,11339951.73,8168949.44,13760531.7,38.09,57.46,41.39,54.16
2026-01-01,France,Industrial Solutions,10874860.61,7543511.85,27074828.17,14135422.3,9064728.86,32145521.62,77.18,58.09,37.25,98.02
2026-01-01,France,Services,7654297.84,4088213.23,19737944.85,7473487.71,5034365.24,22177067.32,79.94,56.67,38.17,98.43
2026-01-01,France,Equipment,8506609.34,6144668.36,20767484.96,12734611.89,7399496.95,26102599.9,75.68,64.25,37.33,102.6
2026-01-01,Italy,Industrial Solutions,8754361.71,5823269.51,15904715.81,12483994.93,15115626.53,13273084.22,56.32,66.46,80.47,42.31
2026-01-01,Italy,Services,6516189.67,3619392.86,11954116.45,7777749.11,9294845.88,10437019.68,56.87,66.62,79.61,43.88
2026-01-01,Italy,Equipment,7053597.89,5084354.99,12174279.61,11250921.53,13308309.26,10116891.89,53.5,68.6,81.14,40.96
2026-01-01,Switzerland,Industrial Solutions,7852884.01,5373010.82,7982347.74,7747725.29,6845019.06,8885053.97,31.51,44.7,39.49,36.72
2026-01-01,Switzerland,Services,5624015.44,3133861.77,6272401.94,4567279.28,4037881.92,6801799.3,34.57,45.18,39.94,39.81
2026-01-01,Switzerland,Equipment,6483934.98,4790791.81,6786491.79,7594922.8,6007782.67,8373631.91,32.45,49.14,38.87,42.72
2026-02-01,Austria,Industrial Solutions,10365991.47,7089085.74,17291994.0,23540758.33,12223332.65,28609419.68,46.71,92.98,48.28,91.41
2026-02-01,Austria,Services,7240263.18,4046873.44,12876340.2,13098756.47,7032480.87,18942615.8,49.8,90.63,48.66,91.77
2026-02-01,Austria,Equipment,8203559.13,5973331.2,14008251.87,20588546.04,10436052.74,24160745.17,47.81,96.51,48.92,95.4
2026-02-01,Germany,Industrial Solutions,12711854.43,8745039.1,17015948.02,16328711.93,13008137.67,20336522.28,37.48,52.28,41.65,48.11
2026-02-01,Germany,Services,8078925.04,4554666.46,11572071.56,8687170.74,6809866.38,13449375.92,40.11,53.4,41.86,51.65
2026-02-01,Germany,Equipment,9082548.81,6555875.65,12602139.14,13531844.59,10014693.39,16119290.34,38.85,57.79,42.77,53.87
